filename,width,height,class,xmin,ymin,xmax,ymax
img-6D4Q6IYWW2_png.rf.01987bf9bb477db47f83c2eb9ec6ab32.jpg,450,450,bicycles,77,312,285,435
img-6D4Q6IYWW2_png.rf.01987bf9bb477db47f83c2eb9ec6ab32.jpg,450,450,bicycles,220,272,319,409
img-6D4Q6IYWW2_png.rf.01987bf9bb477db47f83c2eb9ec6ab32.jpg,450,450,bicycles,249,276,346,393
img-6D4Q6IYWW2_png.rf.01987bf9bb477db47f83c2eb9ec6ab32.jpg,450,450,bicycles,339,283,413,395
img-buses-AIJMX313CV_png.rf.00b5f4d95cbcfb025f26eb0f1d973199.jpg,450,450,buses,147,21,450,256
img-traffic-lights-TZF6REJFX8_png.rf.012e2572856a1764ab6d68f1aa72b569.jpg,450,450,traffic lights,259,34,436,429
img-crosswalks-WZ7MFRQ3YW_png.rf.00c0ba7f1ca55bdbd7642c0213c057f6.jpg,450,450,motorcycles,0,294,450,450
img-crosswalks-WZ7MFRQ3YW_png.rf.00c0ba7f1ca55bdbd7642c0213c057f6.jpg,450,450,crosswalks,4,403,450,450
img-F9ZKGMVQKL_png.rf.00ed937817e472929ae066eb79dadb2e.jpg,450,450,stairs,91,149,348,345
img-motorcycles-7U9QLXWY0F_png.rf.0049f9d79d360292d271833fb1109ffc.jpg,450,450,motorcycles,295,202,363,344
img-motorcycles-7U9QLXWY0F_png.rf.0049f9d79d360292d271833fb1109ffc.jpg,450,450,motorcycles,98,240,307,427
img-bicycles-EU1H31BV8B_png.rf.00b854833308d1cda750bf020595c2b6.jpg,450,450,bicycles,273,258,310,364
img-motorcycles-NNARARHDRU_png.rf.00fb4370d8106cf63294d72603b30166.jpg,450,450,motorcycles,84,125,321,394
img-buses-UOCTEENRYK_png.rf.0171e655d3541b4f112e2da64f5a0cba.jpg,450,450,buses,123,52,316,198
img-buses-UOCTEENRYK_png.rf.0171e655d3541b4f112e2da64f5a0cba.jpg,450,450,buses,80,60,133,153
img-buses-UOCTEENRYK_png.rf.0171e655d3541b4f112e2da64f5a0cba.jpg,450,450,buses,55,63,86,133
img-IOA4KTTK94_png.rf.01d629e0e25def97cc665bc7885a5e2c.jpg,450,450,motorcycles,22,225,323,450
img-bicycles-V4XIOKNB2C_png.rf.01d55d434b0be16f83bf6e663e62b037.jpg,450,450,bicycles,95,190,404,435
img-3B65YFZTUY_png.rf.026c13f7212d5fecabc520f4181c5437.jpg,450,450,cars,0,150,140,371
img-motorcycles-7SSI7VC7D6_png.rf.01bd1f18f0a6c13dd27cf5d5254b7f89.jpg,450,450,motorcycles,34,119,374,324
img-motorcycles-VUX3WQHU1T_png.rf.018a1447585752e3ae26c8233bdd799e.jpg,450,450,motorcycles,279,82,409,277
img-motorcycles-VUX3WQHU1T_png.rf.018a1447585752e3ae26c8233bdd799e.jpg,450,450,motorcycles,109,179,409,431
img-792ZXI3C5G_png.rf.01f6d726b27221e7ca47c2d43c6507f6.jpg,450,450,cars,220,350,447,450
img-ZS0VW1LQC4_png.rf.033c27d3167d36850b6d419addff7f19.jpg,450,450,buses,45,99,450,350
img-motorcycles-5HU5D0ZOBF_png.rf.0218d2fe273b19985477d1c05deef5d0.jpg,450,450,motorcycles,213,191,328,387
img-motorcycles-KSHTCRQPGG_png.rf.034cab616485d6c8e371ae5a721afda3.jpg,450,450,motorcycles,73,103,164,332
img-motorcycles-KSHTCRQPGG_png.rf.034cab616485d6c8e371ae5a721afda3.jpg,450,450,motorcycles,112,139,425,434
img-bicycles-1V9C501M35_png.rf.029c8366e5c7895f1e4120a872595d36.jpg,450,450,bicycles,37,198,180,403
img-bicycles-1V9C501M35_png.rf.029c8366e5c7895f1e4120a872595d36.jpg,450,450,bicycles,189,105,423,290
